#At time x allocated y bytes for process z from i to j
At time 7 allocated 256 bytes for process 1 from 0 to 255
At time 9 allocated 256 bytes for process 2 from 256 to 511
At time 12 allocated 256 bytes for process 3 from 512 to 767
At time 14 allocated 256 bytes for process 4 from 768 to 1023
At time 91 freed 256 bytes for process 3 from 512 to 767
At time 91 allocated 256 bytes for process 5 from 512 to 767
At time 113 freed 256 bytes for process 2 from 256 to 511
At time 113 allocated 256 bytes for process 6 from 256 to 511
At time 195 freed 256 bytes for process 1 from 0 to 255
At time 208 freed 256 bytes for process 5 from 512 to 767
At time 217 freed 256 bytes for process 6 from 256 to 511
At time 221 freed 256 bytes for process 4 from 768 to 1023
