#At time x process y state arr w total z remain y wait k
At time 3 process 1 started arr 3 total 10 remain 10 wait 0
At time 12 process 1 stopped arr 3 total 10 remain 1 wait 0
At time 12 process 2 started arr 11 total 27 remain 27 wait 1
At time 15 process 2 stopped arr 11 total 27 remain 24 wait 1
At time 15 process 1 resumed arr 3 total 10 remain 1 wait 3
At time 16 process 1 finished arr 3 total 10 remain 0 wait 3 TA 13 WTA 1.30
At time 16 process 2 resumed arr 11 total 27 remain 24 wait 2
At time 22 process 2 stopped arr 11 total 27 remain 18 wait 2
At time 22 process 3 started arr 19 total 29 remain 29 wait 3
At time 25 process 3 stopped arr 19 total 29 remain 26 wait 3
At time 25 process 2 resumed arr 11 total 27 remain 18 wait 5
At time 28 process 2 stopped arr 11 total 27 remain 15 wait 5
At time 28 process 3 resumed arr 19 total 29 remain 26 wait 6
At time 31 process 3 stopped arr 19 total 29 remain 23 wait 6
At time 31 process 2 resumed arr 11 total 27 remain 15 wait 8
At time 34 process 2 stopped arr 11 total 27 remain 12 wait 8
At time 34 process 4 started arr 28 total 8 remain 8 wait 6
At time 37 process 4 stopped arr 28 total 8 remain 5 wait 6
At time 37 process 3 resumed arr 19 total 29 remain 23 wait 12
At time 40 process 3 stopped arr 19 total 29 remain 20 wait 12
At time 40 process 2 resumed arr 11 total 27 remain 12 wait 14
At time 43 process 2 stopped arr 11 total 27 remain 9 wait 14
At time 43 process 4 resumed arr 28 total 8 remain 5 wait 12
At time 46 process 4 stopped arr 28 total 8 remain 2 wait 12
At time 46 process 3 resumed arr 19 total 29 remain 20 wait 18
At time 49 process 3 stopped arr 19 total 29 remain 17 wait 18
At time 49 process 2 resumed arr 11 total 27 remain 9 wait 20
At time 52 process 2 stopped arr 11 total 27 remain 6 wait 20
At time 52 process 4 resumed arr 28 total 8 remain 2 wait 18
At time 54 process 4 finished arr 28 total 8 remain 0 wait 18 TA 26 WTA 3.25
At time 54 process 3 resumed arr 19 total 29 remain 17 wait 23
At time 57 process 3 stopped arr 19 total 29 remain 14 wait 23
At time 57 process 2 resumed arr 11 total 27 remain 6 wait 25
At time 60 process 2 stopped arr 11 total 27 remain 3 wait 25
At time 60 process 3 resumed arr 19 total 29 remain 14 wait 26
At time 63 process 3 stopped arr 19 total 29 remain 11 wait 26
At time 63 process 2 resumed arr 11 total 27 remain 3 wait 28
At time 66 process 2 finished arr 11 total 27 remain 0 wait 28 TA 55 WTA 2.04
At time 66 process 3 resumed arr 19 total 29 remain 11 wait 29
At time 77 process 3 finished arr 19 total 29 remain 0 wait 29 TA 58 WTA 2.00
