#At time x process y state arr w total z remain y wait k
At time 4 process 1 started arr 4 total 12 remain 12 wait 0
At time 11 process 1 stopped arr 4 total 12 remain 5 wait 0
At time 11 process 2 started arr 11 total 29 remain 29 wait 0
At time 12 process 2 stopped arr 11 total 29 remain 28 wait 0
At time 12 process 3 started arr 11 total 26 remain 26 wait 1
At time 13 process 3 stopped arr 11 total 26 remain 25 wait 1
At time 13 process 1 resumed arr 4 total 12 remain 5 wait 2
At time 14 process 1 stopped arr 4 total 12 remain 4 wait 2
At time 14 process 2 resumed arr 11 total 29 remain 28 wait 2
At time 15 process 2 stopped arr 11 total 29 remain 27 wait 2
At time 15 process 3 resumed arr 11 total 26 remain 25 wait 3
At time 16 process 3 stopped arr 11 total 26 remain 24 wait 3
At time 16 process 4 started arr 14 total 8 remain 8 wait 2
At time 17 process 4 stopped arr 14 total 8 remain 7 wait 2
At time 17 process 1 resumed arr 4 total 12 remain 4 wait 5
At time 18 process 1 stopped arr 4 total 12 remain 3 wait 5
At time 18 process 2 resumed arr 11 total 29 remain 27 wait 5
At time 19 process 2 stopped arr 11 total 29 remain 26 wait 5
At time 19 process 3 resumed arr 11 total 26 remain 24 wait 6
At time 20 process 3 stopped arr 11 total 26 remain 23 wait 6
At time 20 process 4 resumed arr 14 total 8 remain 7 wait 5
At time 21 process 4 stopped arr 14 total 8 remain 6 wait 5
At time 21 process 1 resumed arr 4 total 12 remain 3 wait 8
At time 22 process 1 stopped arr 4 total 12 remain 2 wait 8
At time 22 process 5 started arr 19 total 9 remain 9 wait 3
At time 23 process 5 stopped arr 19 total 9 remain 8 wait 3
At time 23 process 2 resumed arr 11 total 29 remain 26 wait 9
At time 24 process 2 stopped arr 11 total 29 remain 25 wait 9
At time 24 process 3 resumed arr 11 total 26 remain 23 wait 10
At time 25 process 3 stopped arr 11 total 26 remain 22 wait 10
At time 25 process 4 resumed arr 14 total 8 remain 6 wait 9
At time 26 process 4 stopped arr 14 total 8 remain 5 wait 9
At time 26 process 1 resumed arr 4 total 12 remain 2 wait 12
At time 27 process 1 stopped arr 4 total 12 remain 1 wait 12
At time 27 process 5 resumed arr 19 total 9 remain 8 wait 7
At time 28 process 5 stopped arr 19 total 9 remain 7 wait 7
At time 28 process 6 started arr 24 total 23 remain 23 wait 4
At time 29 process 6 stopped arr 24 total 23 remain 22 wait 4
At time 29 process 2 resumed arr 11 total 29 remain 25 wait 14
At time 30 process 2 stopped arr 11 total 29 remain 24 wait 14
At time 30 process 7 started arr 25 total 17 remain 17 wait 5
At time 31 process 7 stopped arr 25 total 17 remain 16 wait 5
At time 31 process 3 resumed arr 11 total 26 remain 22 wait 16
At time 32 process 3 stopped arr 11 total 26 remain 21 wait 16
At time 32 process 4 resumed arr 14 total 8 remain 5 wait 15
At time 33 process 4 stopped arr 14 total 8 remain 4 wait 15
At time 33 process 1 resumed arr 4 total 12 remain 1 wait 18
At time 34 process 1 finished arr 4 total 12 remain 0 wait 18 TA 30 WTA 2.50
At time 34 process 5 resumed arr 19 total 9 remain 7 wait 13
At time 35 process 5 stopped arr 19 total 9 remain 6 wait 13
At time 35 process 6 resumed arr 24 total 23 remain 22 wait 10
At time 36 process 6 stopped arr 24 total 23 remain 21 wait 10
At time 36 process 2 resumed arr 11 total 29 remain 24 wait 20
At time 37 process 2 stopped arr 11 total 29 remain 23 wait 20
At time 37 process 8 started arr 31 total 23 remain 23 wait 6
At time 38 process 8 stopped arr 31 total 23 remain 22 wait 6
At time 38 process 7 resumed arr 25 total 17 remain 16 wait 12
At time 39 process 7 stopped arr 25 total 17 remain 15 wait 12
At time 39 process 3 resumed arr 11 total 26 remain 21 wait 23
At time 40 process 3 stopped arr 11 total 26 remain 20 wait 23
At time 40 process 4 resumed arr 14 total 8 remain 4 wait 22
At time 41 process 4 stopped arr 14 total 8 remain 3 wait 22
At time 41 process 5 resumed arr 19 total 9 remain 6 wait 19
At time 42 process 5 stopped arr 19 total 9 remain 5 wait 19
At time 42 process 6 resumed arr 24 total 23 remain 21 wait 16
At time 43 process 6 stopped arr 24 total 23 remain 20 wait 16
At time 43 process 2 resumed arr 11 total 29 remain 23 wait 26
At time 44 process 2 stopped arr 11 total 29 remain 22 wait 26
At time 44 process 8 resumed arr 31 total 23 remain 22 wait 12
At time 45 process 8 stopped arr 31 total 23 remain 21 wait 12
At time 45 process 7 resumed arr 25 total 17 remain 15 wait 18
At time 46 process 7 stopped arr 25 total 17 remain 14 wait 18
At time 46 process 3 resumed arr 11 total 26 remain 20 wait 29
At time 47 process 3 stopped arr 11 total 26 remain 19 wait 29
At time 47 process 4 resumed arr 14 total 8 remain 3 wait 28
At time 48 process 4 stopped arr 14 total 8 remain 2 wait 28
